#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1.40364e+09,4.68832,-1.78694,0.783338,0.534108,-0.153029,-0.827383,-0.082152
1.40364e+09,4.7036,-1.78115,0.859616,0.568527,-0.151869,-0.802613,-0.097713
1.40364e+09,4.7058,-1.77912,0.790138,0.559586,-0.156011,-0.808477,-0.094323
1.40364e+09,4.71217,-1.78826,0.685233,0.528358,-0.159749,-0.829209,-0.087929
1.40364e+09,4.71005,-1.79032,0.694569,0.524844,-0.158653,-0.831921,-0.085301
1.40364e+09,4.70792,-1.79122,0.712448,0.527209,-0.158492,-0.830547,-0.084401
1.40364e+09,4.70053,-1.79197,0.794894,0.544106,-0.156064,-0.819542,-0.089232
1.40364e+09,4.69557,-1.79019,0.85971,0.549861,-0.155976,-0.814975,-0.095723
1.40364e+09,4.69362,-1.78897,0.892738,0.551404,-0.157213,-0.813377,-0.098389
1.40364e+09,4.69221,-1.77164,1.0847,0.577467,-0.171429,-0.790509,-0.110654
1.40364e+09,4.71496,-1.77378,0.669062,0.523644,-0.161768,-0.83132,-0.092392
1.40364e+09,4.70928,-1.77531,0.719498,0.525862,-0.157779,-0.831132,-0.088294
1.40364e+09,4.67842,-1.76046,0.986156,0.555435,-0.160119,-0.808191,-0.112787
1.40364e+09,4.70276,-1.75708,0.861877,0.542842,-0.159258,-0.817687,-0.10655
1.40364e+09,4.76377,-1.72176,0.86028,0.410983,-0.190206,-0.889312,-0.063553
1.40364e+09,4.76777,-1.68327,0.85905,0.408286,-0.196388,-0.889308,-0.062176
1.40364e+09,4.77102,-1.66762,0.858906,0.407743,-0.198391,-0.889142,-0.061754
1.40364e+09,4.77844,-1.63279,0.859817,0.409838,-0.203585,-0.886894,-0.063302
1.40364e+09,4.80515,-1.52401,0.859456,0.412786,-0.224062,-0.879661,-0.074856
1.40364e+09,4.8251,-1.46153,0.847316,0.396967,-0.233274,-0.884195,-0.078734
1.40364e+09,4.82455,-1.48533,0.847934,0.404013,-0.232123,-0.881622,-0.075072
1.40364e+09,4.80268,-1.58563,0.852458,0.405339,-0.220126,-0.884889,-0.064944
1.40364e+09,4.78171,-1.67253,0.864004,0.414919,-0.209136,-0.883397,-0.060942
1.40364e+09,4.70959,-1.94799,0.865811,0.415168,-0.183969,-0.889679,-0.047581
1.40364e+09,4.69562,-2.00189,0.858683,0.40937,-0.175991,-0.894483,-0.036679
1.40364e+09,4.69173,-2.0168,0.856825,0.410406,-0.173443,-0.894646,-0.03307
1.40364e+09,4.68372,-2.04678,0.857257,0.420284,-0.167147,-0.891436,-0.027685
1.40364e+09,4.69818,-2.02792,0.863672,0.41912,-0.168684,-0.891366,-0.03676
1.40364e+09,4.71062,-2.00047,0.86741,0.420414,-0.171375,-0.889919,-0.043904
1.40364e+09,4.71748,-1.98411,0.869256,0.421365,-0.172725,-0.889068,-0.046647
1.40364e+09,4.72443,-1.9663,0.870546,0.421671,-0.174786,-0.88837,-0.049415
