#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
4.91866e-310,4.66612,-1.84836,0.761367,0.445604,-0.692875,-0.475717,0.308311
1.66105e-316,4.65706,-1.86554,0.836919,0.457006,-0.684178,-0.471353,0.317605
1.66105e-316,4.66469,-1.87463,0.768396,0.452791,-0.684188,-0.477012,0.315163
1.66105e-316,4.69741,-1.88491,0.668635,0.452167,-0.685756,-0.47903,0.309539
1.66105e-316,4.6954,-1.88707,0.677976,0.464351,-0.674944,-0.474812,0.321534
1.66105e-316,4.70012,-1.87072,0.672025,0.463446,-0.69707,-0.457711,0.299688
1.66105e-316,4.70465,-1.85315,0.752794,0.472393,-0.693938,-0.450105,0.304468
1.66105e-316,4.70253,-1.86299,0.688547,0.442778,-0.709211,-0.463977,0.292735
1.66105e-316,4.69729,-1.8645,0.721203,0.449092,-0.702474,-0.4624,0.301718
1.66105e-316,4.66616,-1.82783,0.907855,0.455436,-0.699521,-0.454658,0.310701
1.66105e-316,4.59398,-2.14185,0.644301,0.447868,-0.701656,-0.45843,0.311346
1.66105e-316,4.5866,-2.14818,0.694139,0.456868,-0.693787,-0.454178,0.321955
1.66105e-316,4.56405,-2.17328,0.960862,0.458122,-0.688287,-0.455169,0.330466
1.66105e-316,4.57639,-2.12553,1.07755,0.476466,-0.681841,-0.444687,0.332157
1.66105e-316,4.58914,-2.05768,1.06321,0.476318,-0.683316,-0.444775,0.329205
1.66105e-316,4.59044,-2.01899,1.06419,0.480679,-0.68349,-0.442833,0.325098
1.66105e-316,4.59459,-2.00358,1.06509,0.484961,-0.684847,-0.439739,0.320045
1.66105e-316,4.60072,-1.96879,1.06967,0.487671,-0.687525,-0.436608,0.314421
1.66105e-316,4.66127,-1.87653,1.08883,0.491798,-0.685241,-0.434187,0.316327
1.66105e-316,4.69852,-1.82122,1.09051,0.495489,-0.687886,-0.428616,0.3124
1.66105e-316,4.69004,-1.84312,1.08657,0.493147,-0.68664,-0.432268,0.313811
1.66105e-316,4.65485,-1.93787,1.06803,0.488112,-0.687979,-0.435291,0.31457
1.66105e-316,4.6292,-2.02426,1.06668,0.483987,-0.687311,-0.438696,0.31766
1.66105e-316,4.52303,-2.28192,1.00809,0.485494,-0.687935,-0.436737,0.316706
1.66105e-316,4.5109,-2.33494,0.994211,0.484543,-0.688346,-0.437203,0.316627
1.66105e-316,4.50422,-2.34889,0.993135,0.486523,-0.688604,-0.435628,0.315198
1.66105e-316,4.49062,-2.37658,0.996557,0.484039,-0.688915,-0.437424,0.315854
1.66105e-316,4.50054,-2.35406,0.997045,0.483783,-0.689455,-0.437251,0.315308
1.66105e-316,4.51309,-2.32641,0.996706,0.481847,-0.690139,-0.43844,0.315123
1.66105e-316,4.52071,-2.31028,0.99658,0.478237,-0.690594,-0.441141,0.315858
1.66105e-316,4.52841,-2.29274,0.996957,0.476996,-0.691149,-0.441843,0.31554
1.66105e-316,4.5594,-2.24284,1.02063,0.484108,-0.68774,-0.43702,0.318856
1.66105e-316,4.56737,-2.22148,1.01869,0.487219,-0.68595,-0.437921,0.316731
1.66105e-316,4.56982,-2.19792,1.01764,0.488816,-0.683945,-0.438239,0.318161
1.66105e-316,4.57787,-2.17516,1.01732,0.491533,-0.685632,-0.435098,0.314635
1.66105e-316,4.58994,-2.12964,1.0131,0.49207,-0.68947,-0.432399,0.309082
1.66105e-316,4.59954,-2.08548,1.01353,0.495617,-0.693784,-0.426159,0.302355
1.66105e-316,4.62849,-2.01527,1.00986,0.497685,-0.69467,-0.424042,0.29989
